id;period_id;init_period;finish_period
1;18597445-e49d-4546-9df1-1d587159d14d;2023-04-20T05:03:14;2023-04-20T05:04:33
2;f508bc03-581b-48c4-b6df-45219a09e422;2023-04-20T04:38:47;2023-04-20T10:37:18
3;89c7da37-756f-40c8-ab91-132fd28bce95;2023-04-20T01:41:43;2023-04-20T10:58:02
4;38c769ae-17ee-4587-9cfb-5700a6f04658;2023-04-20T09:53:46;2023-04-20T14:19:03
5;31ca8c3b-1cee-46f6-b3e0-e0a01f963937;2023-04-20T01:15:07;2023-04-20T14:12:45
6;11a5c51e-bf56-479d-85c7-ba642c5206e0;2023-04-20T13:54:15;2023-04-20T03:58:57
7;63f7d485-e0eb-4ca2-8a37-39d1dd62fab7;2023-04-20T09:55:36;2023-04-19T20:48:08
8;4ecaaf0a-ef2e-4181-8926-b4973fe8b613;2023-04-20T14:04:04;2023-04-20T05:49:16
9;3fe3de41-0236-4ba0-9048-a81f3bd00f08;2023-04-20T05:55:59;2023-04-20T03:07:53
10;31d39081-1f37-47bd-b016-f0d23c2b78bd;2023-04-20T08:15:04;2023-04-20T16:23:50
