id;question_id;course_question
1;524a2bd0-83d7-4821-9740-7332fd83ce6c;state
2;c01b04c5-04a2-4301-9023-461f48610368;Refinado schemas quantify
3;a585e961-0927-44f8-b377-e3972b67a737;Investment
4;de2299ae-821c-4fd0-aaeb-b0371a0ef5a0;Conjunto Buckinghamshire Credit
5;7c5051aa-5835-4228-966c-262813956004;Hormigon Croacia HTTP
6;ed224897-eb64-478d-bf35-bdf66d500d25;reintermediate Navarra alarm
7;c10f8538-5f43-4526-a945-9091acda54ab;sensor Práctico Andalucía
8;6d1367b9-0c50-40fa-a30d-6e9548c8fd1c;Borders y Vasco
9;8193ebfa-8c2b-4f63-bb2a-7f447575ce50;Ladrillo Bacon Vía
10;6de5de74-8a3b-46b2-8555-9c106f9cf7c2;Coche fritas Heredado
