id;enroll_id;period_academic;is_evaluated
1;40b513b4-9ef4-4a5a-9b16-34dcb3f2454e;Rojo Plástico Extremadura;87469
2;410388ac-a479-4f05-9a76-e1c82e0aac48;indexing transmitting bus;60795
3;a0eec985-619d-455a-85c1-42d067a8a17b;Comunidad Pequeño acceso;21765
4;b7521422-d186-4a64-afb8-81532c13001d;Avon Account;82054
5;448235f3-4596-4e04-aaa0-3a35a71d4fdc;Asistente usuario Avon;78225
6;9be46cfc-b8c7-439f-8fad-1efeebfb7a27;Investment Dollar;58594
7;f3c096a4-19cc-4c4c-bac8-8c1d94bc247c;program payment Gorro;44860
8;2c3caa08-3217-4468-87a2-dbe1609c7d80;Borders;43579
9;0bb14be4-6bf1-4eff-8117-e0090f12b0e1;logística bypass e-commerce;41311
10;5427b507-9ece-44f1-961a-fa35b7d8e91e;Práctico reboot payment;63012
