id;c_score_question_one;c_score_question_two;c_score_question_three;c_score_question_four;c_score_question_five;c_score_question_six
1;29721;15769;45598;60248;10969;59340
2;77341;72496;16385;29735;63888;28152
3;64559;13523;52181;30831;96451;17358
4;17060;49186;87850;75085;85804;69415
5;44086;23776;31299;88560;59760;5548
6;90534;60430;38586;87496;56467;13013
7;86901;53185;15410;89787;98080;13641
8;50590;65864;80701;4354;30905;56623
9;50052;31733;39742;46815;86051;832
10;57164;22833;66927;14135;20822;3165
