id;p_score_question_one;p_score_question_two;p_score_question_three;p_score_question_four;p_score_question_five;p_score_question_six
1;64330;17612;89498;22731;70427;64701
2;86103;67285;87729;52239;95155;143
3;68778;5719;46348;34626;34874;97603
4;99665;91521;45960;31930;93353;34621
5;74116;77800;79715;92096;86331;18982
6;59322;71381;37344;71015;13122;71060
7;79761;24952;65512;33498;87612;81433
8;71831;92739;78917;26802;98122;11451
9;76839;2049;34870;43430;60235;86005
10;68051;11593;677;54359;21053;92738
