id;question_id;profesor_question
1;b5fff547-974a-407a-b1d5-d8c13484caa4;index optical
2;10f855e3-e4f1-401c-8490-bafb81bd26f5;Entrada
3;2bace61b-cd2c-4ea5-886f-e93979dd41c0;Syrian interface Tácticas
4;a49441bc-cdaf-455e-a7c4-a431c526bb0c;Orgánico connecting Afghani
5;ee11d6d4-0dbf-4525-bc96-9bb23f5d8998;Reducido de
6;1e01faf8-4178-41aa-9c1c-ffc83fea3a71;connecting
7;12aba5b9-a048-4156-b548-ddd82fbb3a49;Programa Rústico
8;3d34a501-6c20-4624-966b-d863f1e8385f;ejecutiva Arroyo
9;5295a67a-eb96-4084-9d67-abf4c70c4000;Corporativo Actualizable
10;de0e0e03-6526-498a-9fb9-431ed3fbfcde;e-markets Técnico microchip
