id;role_id;role_name
1;fc2df1f5-0009-45e1-bdb1-3498410def45;Rampa Refinado
2;907141e2-7544-44a4-a93a-dfe00ba02d49;Omán
3;d2b24963-c204-43ac-8d7c-61365d7a53d5;Director Atún Organizado
4;943ea28f-63c9-4c3b-8e37-7957dc8866a1;port Marca Egyptian
5;54215adc-d1af-425f-9cb2-d86d311ab0b2;vortals
6;90b5e838-bfb6-4846-8347-ba26cf542e7b;Identidad
7;1cee2c70-b50b-4edd-931f-70a2723c5de4;models empower
8;2f2904ab-e5d6-4ce8-b5c3-db04cdb8e54e;Heredado interactiva Soporte
9;9dda57d0-176f-40e6-8061-76709a359d6e;Austria previsión Creativo
10;d4a90036-6451-4f7f-8f8f-4dfb14eac2b4;Atún Usabilidad digital
